airline,origin,dest,month,day_of_week,sched_dep_hour,distance,is_weekend,is_peak_hour,is_holiday_season,temperature_f,wind_speed_mph,precipitation_in,visibility_miles,origin_congestion_index,dest_congestion_index,delay_minutes,delayed
AA,SFO,ORD,10,1,21,454,0,0,0,77.5,10.0,0.014,6.28,0.8,0.85,0,0
UA,SEA,JFK,6,0,22,772,0,0,0,61.0,9.4,0.045,8.45,0.5,0.9,0,0
NK,SEA,DFW,9,2,17,807,0,1,0,31.8,11.9,0.249,7.99,0.5,0.7,51,1
F9,JFK,ATL,3,0,15,1189,0,0,0,60.0,12.6,0.204,7.82,0.9,0.8,0,0
DL,SEA,DFW,10,1,11,764,0,0,0,66.6,6.4,0.001,6.29,0.5,0.7,0,0
WN,SFO,JFK,6,0,13,1035,0,0,0,50.3,11.2,0.06,10.0,0.8,0.9,0,0
AS,JFK,DFW,11,1,18,1963,0,1,1,37.5,13.3,0.178,10.0,0.9,0.7,21,1
B6,LAS,ATL,5,5,21,1475,1,0,0,94.3,7.7,0.051,10.0,0.55,0.8,0,0
F9,ATL,LAX,7,0,7,831,0,1,0,62.3,7.1,0.018,10.0,0.8,0.75,15,1
F9,MCO,ATL,2,0,5,518,0,0,0,33.1,9.6,0.067,8.73,0.6,0.8,0,0
F9,LAX,JFK,9,2,13,1890,0,0,0,35.4,9.1,0.051,8.95,0.75,0.9,73,1
B6,DEN,MCO,8,5,20,386,1,0,0,65.6,7.5,0.009,7.56,0.6,0.6,0,0
DL,MCO,JFK,4,2,14,882,0,0,0,100.8,4.8,0.015,6.81,0.6,0.9,0,0
AA,SFO,JFK,10,3,5,1181,0,0,0,38.1,14.2,0.043,10.0,0.8,0.9,0,0
AS,MCO,LAX,6,0,16,1931,0,1,0,35.8,11.1,0.035,10.0,0.6,0.75,0,0
WN,MCO,SFO,7,6,11,1384,1,0,0,81.8,15.5,0.047,9.31,0.6,0.8,50,1
AS,DEN,SEA,9,4,5,717,0,0,0,57.3,7.2,0.015,8.85,0.6,0.5,0,0
WN,JFK,DFW,4,5,7,753,1,1,0,68.6,10.0,0.03,10.0,0.9,0.7,61,1
B6,SFO,DFW,7,5,22,221,1,0,0,68.7,8.7,0.056,10.0,0.8,0.7,0,0
NK,MCO,SFO,3,2,21,1255,0,0,0,88.1,6.2,0.026,10.0,0.6,0.8,0,0
AA,SFO,LAX,7,1,14,1581,0,0,0,55.3,17.4,0.01,7.89,0.8,0.75,15,1
DL,SFO,ATL,2,5,22,1529,1,0,0,43.1,17.3,0.022,9.31,0.8,0.8,71,1
AA,LAS,ATL,11,0,7,1445,0,1,1,71.8,5.0,0.002,10.0,0.55,0.8,42,1
AS,SFO,DEN,9,1,21,686,0,0,0,49.9,6.9,0.018,6.99,0.8,0.6,0,0
NK,MCO,LAX,5,5,9,1961,1,0,0,85.6,7.7,0.001,5.38,0.6,0.75,0,0
NK,ATL,SFO,7,5,8,1908,1,1,0,78.4,6.1,0.103,4.6,0.8,0.8,15,1
DL,ATL,DFW,10,3,21,1246,0,0,0,70.9,9.3,0.07,6.56,0.8,0.7,0,0
F9,DFW,SEA,3,6,9,2529,1,0,0,69.2,14.0,0.035,10.0,0.7,0.5,0,0
AS,SFO,JFK,2,4,18,1901,0,1,0,68.5,0.5,0.027,8.77,0.8,0.9,0,0
B6,ATL,DFW,1,2,22,619,0,0,0,19.1,10.4,0.073,10.0,0.8,0.7,0,0
DL,SFO,DEN,11,5,9,1615,1,0,1,37.1,11.5,0.049,4.83,0.8,0.6,27,1
AA,SFO,DFW,5,3,18,2009,0,1,0,64.4,1.1,0.074,9.02,0.8,0.7,0,0
UA,LAS,MCO,8,1,7,1047,0,1,0,48.5,8.6,0.004,7.66,0.55,0.6,46,1
WN,LAS,SFO,7,3,9,871,0,0,0,61.9,18.5,0.021,10.0,0.55,0.8,139,1
NK,DEN,LAX,10,0,11,2232,0,0,0,45.9,8.6,0.039,7.42,0.6,0.75,67,1
AA,JFK,DFW,12,4,9,2033,0,0,1,57.1,15.0,0.078,7.65,0.9,0.7,29,1
NK,JFK,ORD,5,0,22,656,0,0,0,40.0,15.9,0.013,6.66,0.9,0.85,49,1
UA,ATL,MCO,10,3,5,417,0,0,0,70.5,12.4,0.034,7.41,0.8,0.6,0,0
DL,SEA,LAS,6,0,10,1192,0,0,0,63.7,7.6,0.074,7.74,0.5,0.55,56,1
B6,LAS,SFO,6,1,14,1819,0,0,0,65.3,14.6,0.024,10.0,0.55,0.8,0,0
AA,ORD,LAS,7,1,8,300,0,1,0,39.8,13.8,0.045,10.0,0.85,0.55,0,0
DL,MCO,DEN,4,5,21,2448,1,0,0,27.4,7.0,0.068,6.06,0.6,0.6,67,1
WN,SEA,ORD,8,2,5,376,0,0,0,56.5,8.3,0.01,5.39,0.5,0.85,31,1
WN,MCO,LAS,6,2,22,1013,0,0,0,43.5,12.0,0.0,6.92,0.6,0.55,0,0
AA,DEN,MCO,7,5,14,2439,1,0,0,68.4,11.0,0.058,8.95,0.6,0.6,0,0
NK,DEN,SEA,10,2,6,2430,0,0,0,27.5,17.7,0.058,5.62,0.6,0.5,41,1
AS,LAS,JFK,11,2,6,2004,0,0,1,67.0,13.7,0.008,9.32,0.55,0.9,0,0
F9,DFW,ATL,3,1,20,2344,0,0,0,73.9,14.1,0.012,7.49,0.7,0.8,0,0
NK,ATL,DFW,5,4,15,1522,0,0,0,79.2,10.5,0.023,8.21,0.8,0.7,0,0
DL,LAX,ORD,12,3,15,607,0,0,1,55.7,21.2,0.018,8.31,0.75,0.85,27,1
DL,DEN,SFO,10,0,6,1421,0,0,0,58.9,13.7,0.018,6.97,0.6,0.8,64,1
B6,JFK,DEN,6,3,13,575,0,0,0,43.0,16.5,0.003,10.0,0.9,0.6,29,1
B6,SFO,LAX,5,2,8,1522,0,1,0,60.9,12.4,0.005,10.0,0.8,0.75,59,1
F9,LAS,SEA,11,5,12,2303,1,0,1,57.8,8.4,0.008,9.95,0.55,0.5,20,1
DL,SFO,DEN,3,4,9,937,0,0,0,56.1,6.5,0.122,8.07,0.8,0.6,0,0
F9,SFO,DFW,4,3,7,2383,0,1,0,67.9,13.1,0.038,10.0,0.8,0.7,156,1
B6,ATL,DFW,10,0,14,394,0,0,0,33.3,10.5,0.016,9.08,0.8,0.7,0,0
AA,SEA,ATL,2,3,17,719,0,1,0,89.3,14.8,0.024,6.94,0.5,0.8,0,0
B6,DEN,ORD,2,3,20,1907,0,0,0,33.8,11.0,0.057,7.27,0.6,0.85,0,0
UA,SEA,JFK,9,0,6,1948,0,0,0,46.6,9.7,0.087,6.7,0.5,0.9,0,0
NK,DFW,JFK,6,0,10,2087,0,0,0,64.4,15.4,0.128,4.08,0.7,0.9,45,1
UA,JFK,ORD,4,1,6,2033,0,0,0,26.8,7.7,0.001,7.03,0.9,0.85,55,1
AA,DEN,ORD,3,0,15,1209,0,0,0,82.2,11.1,0.042,9.29,0.6,0.85,0,0
NK,LAX,ORD,10,2,15,1562,0,0,0,31.6,12.2,0.001,10.0,0.75,0.85,0,0
F9,ATL,ORD,11,4,20,380,0,0,1,54.5,8.3,0.083,3.61,0.8,0.85,34,1
AS,ATL,ORD,11,6,12,560,1,0,1,74.9,12.5,0.009,9.06,0.8,0.85,0,0
NK,SEA,DFW,6,0,11,1039,0,0,0,67.6,16.3,0.043,8.81,0.5,0.7,15,1
DL,JFK,SFO,6,4,22,2234,0,0,0,32.1,11.3,0.001,8.11,0.9,0.8,0,0
UA,DFW,ATL,9,0,6,2238,0,0,0,56.6,0.0,0.0,10.0,0.7,0.8,0,0
DL,JFK,DEN,7,0,12,1532,0,0,0,71.7,13.1,0.071,9.0,0.9,0.6,57,1
AS,LAS,DFW,12,3,17,2380,0,1,1,43.7,16.1,0.032,10.0,0.55,0.7,23,1
AA,MCO,SFO,2,1,18,2036,0,1,0,78.7,10.7,0.29,8.46,0.6,0.8,52,1
F9,LAS,SFO,8,3,10,2412,0,0,0,48.9,2.0,0.014,10.0,0.55,0.8,0,0
DL,SFO,LAX,1,1,17,1494,0,1,0,34.0,5.5,0.01,8.62,0.8,0.75,0,0
AS,DEN,SFO,9,1,16,885,0,1,0,44.4,1.8,0.012,8.3,0.6,0.8,0,0
AA,SEA,DFW,5,4,8,732,0,1,0,34.1,15.5,0.046,7.43,0.5,0.7,0,0
AA,LAS,SEA,9,2,14,835,0,0,0,52.2,10.5,0.009,10.0,0.55,0.5,0,0
DL,DEN,MCO,12,0,9,1011,0,0,1,31.7,13.7,0.057,6.99,0.6,0.6,0,0
F9,ORD,ATL,12,6,20,1757,1,0,1,32.5,17.8,0.079,10.0,0.85,0.8,0,0
F9,JFK,SEA,6,5,17,865,1,1,0,52.7,12.7,0.03,8.11,0.9,0.5,30,1
B6,DFW,ATL,3,2,20,1064,0,0,0,38.6,7.1,0.021,8.1,0.7,0.8,0,0
B6,ORD,SEA,4,6,12,562,1,0,0,65.9,12.9,0.144,8.35,0.85,0.5,0,0
AS,JFK,SEA,1,0,22,2382,0,0,0,53.9,12.8,0.0,8.79,0.9,0.5,0,0
UA,JFK,LAX,10,1,7,1466,0,1,0,60.0,14.1,0.017,10.0,0.9,0.75,0,0
AA,DFW,JFK,8,5,22,981,1,0,0,82.2,12.8,0.022,10.0,0.7,0.9,0,0
B6,DFW,SFO,2,5,9,1439,1,0,0,66.3,11.0,0.003,10.0,0.7,0.8,0,0
B6,DEN,ATL,7,4,18,1341,0,1,0,70.0,1.4,0.036,10.0,0.6,0.8,0,0
AA,LAS,DEN,9,1,11,209,0,0,0,53.3,15.4,0.005,10.0,0.55,0.6,0,0
NK,SFO,MCO,8,6,7,2163,1,1,0,44.4,1.9,0.02,10.0,0.8,0.6,0,0
B6,DFW,LAS,7,3,17,2008,0,1,0,51.2,8.4,0.083,5.46,0.7,0.55,47,1
UA,JFK,LAX,10,0,9,524,0,0,0,75.1,17.2,0.068,9.31,0.9,0.75,0,0
DL,LAX,DEN,8,6,21,1570,1,0,0,63.6,12.2,0.036,9.67,0.75,0.6,132,1
B6,JFK,SFO,7,1,12,779,0,0,0,82.8,16.9,0.012,10.0,0.9,0.8,0,0
NK,LAX,DFW,4,2,19,2315,0,0,0,85.4,11.5,0.013,7.44,0.75,0.7,83,1
